transaction_id,timestamp,type,asset,quantity,price_usd,fee,note
EXC-BIN-9000,2023-10-01T00:00:00Z,SELL,DOT,61.095,45590.17,0.05494022773533533,Binance SELL
EXC-BIN-9001,2023-10-01T00:05:00Z,SELL,SOL,54.1309,7604.62,0.03830825815786519,Binance SELL
EXC-BIN-9002,2023-10-01T00:10:00Z,TRANSFER_IN,SOL,41.6928,13245.71,0.047369414109220645,Binance TRANSFER_IN
EXC-BIN-9003,2023-10-01T00:15:00Z,SELL,ADA,99.3795,49722.38,0.06903411882679905,Binance SELL (Slippage)
EXC-BIN-9005,2023-10-01T00:25:00Z,TRANSFER_OUT,SOL,28.9603,49100.49,0.0559214446784963,Binance TRANSFER_OUT
EXC-BIN-9006,2023-10-01T00:30:00Z,TRANSFER_IN,ADA,52.0238,40263.85,0.005850268812435503,Binance TRANSFER_IN
EXC-BIN-9007,2023-10-01T00:35:00Z,TRANSFER_IN,ETH,73.2076,43384.39,0.011665674061142526,Binance TRANSFER_IN
EXC-BIN-9008,2023-10-01T00:40:00Z,TRANSFER_IN,ETH,8.6018,24860.94,0.010528556763019673,Binance TRANSFER_IN
EXC-BIN-9009,2023-10-01T00:45:00Z,TRANSFER_OUT,BTC,50.1023,3246.51,0.04854429811691032,Binance TRANSFER_OUT
EXC-BIN-9010,2023-10-01T00:50:16Z,SELL,ADA,9.2682,41900.72,0.058515618692716896,Binance SELL (Delayed)
EXC-BIN-9011,2023-10-01T00:55:45Z,TRANSFER_OUT,BTC,72.1672,49621.71,0.05182732622668317,Binance TRANSFER_OUT (Delayed)
EXC-BIN-9012,2023-10-01T01:00:00Z,TRANSFER_IN,DOT,20.5807,48667.56,0.07976623424781629,Binance TRANSFER_IN
EXC-BIN-9013,2023-10-01T01:05:00Z,TRANSFER_IN,SOL,37.732,27898.71,0.03191816083794712,Binance TRANSFER_IN
EXC-BIN-9014,2023-10-01T01:10:00Z,SELL,USDT,94.8315,16628.46,0.05090208476334772,Binance SELL
EXC-BIN-9015,2023-10-01T01:15:00Z,SELL,DOT,73.2033,39288.33,0.054902197434126075,Binance SELL
EXC-BIN-9016,2023-10-01T01:20:00Z,TRANSFER_IN,DOT,2.7358,7755.65,0.09752191414953564,Binance TRANSFER_IN
EXC-BIN-9017,2023-10-01T01:25:28Z,SELL,USDT,9.9613,8075.08,0.08111453885872763,Binance SELL (Delayed)
EXC-BIN-9018,2023-10-01T01:30:39Z,SELL,USDT,80.2786,9909.78,0.06655508478074634,Binance SELL (Delayed)
EXC-BIN-9019,2023-10-01T01:35:00Z,BUY,SOL,67.5133,12525.96,0.08476883853158326,Binance BUY (Slippage)
EXC-BIN-9020,2023-10-01T01:40:00Z,BUY,ADA,24.7021,3707.87,0.024365351354216698,Binance BUY
EXC-BIN-9021,2023-10-01T01:45:00Z,BUY,DOT,23.9934,32843.39,0.05346139486471075,Binance BUY
EXC-BIN-9022,2023-10-01T01:50:00Z,TRANSFER_IN,ETH,20.155,16789.61,0.01246926412736828,Binance TRANSFER_IN
EXC-BIN-9023,2023-10-01T01:55:00Z,SELL,SOL,68.4671,40879.12,0.0077506288129236415,Binance SELL
EXC-BIN-9024,2023-10-01T02:00:00Z,TRANSFER_OUT,DOT,44.0185,28388.86,0.08509193860893542,Binance TRANSFER_OUT (Unrecognized)
EXC-BIN-9025,2023-10-01T02:05:00Z,SELL,USDT,36.6535,46691.56,0.04537295732676672,Binance SELL
EXC-BIN-9026,2023-10-01T02:10:00Z,TRANSFER_IN,SOL,25.0467,7103.45,0.03678358597686061,Binance TRANSFER_IN (Slippage)
EXC-BIN-9027,2023-10-01T02:15:00Z,BUY,SOL,51.3343,18835.72,0.07845893493710995,Binance BUY
EXC-BIN-9028,2023-10-01T02:20:00Z,SELL,SOL,96.5417,13409.31,0.008920902042224933,Binance SELL (Slippage)
EXC-BIN-9029,2023-10-01T02:25:18Z,SELL,SOL,50.2493,24238.82,0.008042470576151171,Binance SELL (Delayed)
EXC-BIN-9030,2023-10-01T02:30:00Z,BUY,ADA,65.5592,31891.4,0.08338433246288393,Binance BUY
EXC-BIN-9031,2023-10-01T02:35:00Z,TRANSFER_IN,ADA,97.2913,16110.12,0.08948043128619187,Binance TRANSFER_IN
EXC-BIN-9032,2023-10-01T02:40:00Z,TRANSFER_IN,DOT,77.3361,13696.92,0.05524991838321692,Binance TRANSFER_IN
EXC-BIN-9033,2023-10-01T02:45:44Z,SELL,USDT,43.0774,19127.81,0.08138845107871039,Binance SELL (Delayed)
EXC-BIN-9034,2023-10-01T02:50:00Z,SELL,DOT,43.1773,2627.7,0.07665554170508934,Binance SELL
EXC-BIN-9035,2023-10-01T02:55:00Z,BUY,DOT,50.5832,32954.04,0.010322927071945737,Binance BUY (Slippage)
EXC-BIN-9036,2023-10-01T03:00:00Z,SELL,BTC,70.0526,14000.85,0.018113190614021255,Binance SELL
EXC-BIN-9037,2023-10-01T03:05:00Z,SELL,ADA,29.6329,4600.06,0.050077362918338746,Binance SELL (Slippage)
EXC-BIN-9038,2023-10-01T03:10:00Z,BUY,ETH,26.3582,12814.07,0.03056393189332743,Binance BUY (Slippage)
